2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files81 to /user/vihit/output
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files16 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files18 to /user/vihit/output
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files97 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files24 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files58 to /user/vihit/output
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files26 to /user/vihit/output
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files36 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files38 to /user/vihit/output
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files3 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files5 to /user/vihit/output
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files73 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files84 to /user/vihit/output
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files26 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files31 to /user/vihit/output
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files58 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files59 to /user/vihit/output
2019-11-21 14:26:04 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files5 to /home/vihit/Desktop/IngestionITTests/archive
